Time,Winter,Spring,Summer,Fall,Outdoor Temp (°C),Humidity (%),Cloud Cover (%),Occupancy,Special Equipment [kW],Lighting [kW],HVAC [kW],Use [kW]
2023-01-01 00:00:00,1,0,0,0,7.735483157252284,70.71117649689832,66.71182038914151,1,11.036666666666669,0.0125,20.0,31.458145176735357
2023-01-01 01:00:00,1,0,0,0,2.9058789509245724,76.24842364880784,49.02694628264635,1,11.036666666666669,0.0125,20.0,29.90426607376842
2023-01-01 02:00:00,1,0,0,0,6.669806191586707,75.37169208966753,72.47900260205554,1,11.036666666666669,0.0125,20.0,30.77949345502136
2023-01-01 03:00:00,1,0,0,0,5.104608267845442,76.2332937419516,72.14879143050473,1,11.036666666666669,0.0125,20.0,29.330652900298297
2023-01-01 04:00:00,1,0,0,0,0.5251660753381318,77.426486998016,75.60294815155677,1,11.036666666666669,0.0125,20.0,30.42611002730993
2023-01-01 05:00:00,1,0,0,0,2.9442254624340016,71.26731261718061,70.08907215826106,1,11.036666666666669,0.0125,20.0,30.25056077083259
2023-01-01 06:00:00,1,0,0,0,4.883959478951391,75.3023524015611,78.47548544103343,1,11.036666666666669,0.0092797178400645,20.0,31.146010615280257
2023-01-01 07:00:00,1,0,0,0,6.504387757924743,76.75471655006962,80.87944871739437,1,11.036666666666669,0.0094299655448371,20.0,31.72276203897692
2023-01-01 08:00:00,1,0,0,0,3.686137415142819,68.43537982099745,63.651125453408206,1,11.036666666666669,0.008353195340838,20.0,30.498063347656814
2023-01-01 09:00:00,1,0,0,0,3.9304615748823,72.97803431452114,58.4688676196928,1,11.036666666666669,0.0080293042262307,20.0,30.60010446711246
2023-01-01 10:00:00,1,0,0,0,3.722576009621255,74.1305174151394,91.86699839805604,1,11.036666666666669,0.0101166873998785,20.0,31.736237030412724
2023-01-01 11:00:00,1,0,0,0,2.582526088092655,78.70828375966006,63.92720878162383,1,11.036666666666669,0.0083704505488514,20.0,32.6355137010579
2023-01-01 12:00:00,1,0,0,0,6.424066462100604,72.64968549590222,72.08748190334775,1,11.036666666666669,0.0088804676189592,20.0,31.022641194808557
2023-01-01 13:00:00,1,0,0,0,7.911801636744195,82.38793529442096,74.58967936823068,1,11.036666666666669,0.0090368549605144,20.0,31.550210920336507
2023-01-01 14:00:00,1,0,0,0,5.283383908653832,69.73789739806463,49.79598171736635,1,11.036666666666669,0.0074872488573353,20.0,30.031783033953158
2023-01-01 15:00:00,1,0,0,0,8.766611968082774,81.60785177309097,51.26315330331301,1,11.036666666666669,0.007578947081457,20.0,31.2972234132096
2023-01-01 16:00:00,1,0,0,0,6.188217134142466,79.57071488339567,70.55113669450725,1,11.036666666666669,0.0087844460434067,20.0,31.30955094986369
2023-01-01 17:00:00,1,0,0,0,1.1019688927514704,69.30344365450401,52.044353338335725,1,11.036666666666669,0.0076277720836459,20.0,30.768049703093887
2023-01-01 18:00:00,1,0,0,0,0.5378570186657914,74.80043947748264,79.78709310952532,1,11.036666666666669,0.0093616933193453,20.0,31.21479098804125
2023-01-01 19:00:00,1,0,0,0,9.064474428987149,77.62625373628723,35.70273463993556,1,11.036666666666669,0.0125,20.0,31.83077658451992
2023-01-01 20:00:00,1,0,0,0,8.378168451298697,70.1132781582343,63.55463261001909,1,11.036666666666669,0.0125,20.0,32.23913508355705
2023-01-01 21:00:00,1,0,0,0,4.771443337892982,77.64290334366903,52.51930888779796,1,11.036666666666669,0.0125,20.0,32.70028786454691
2023-01-01 22:00:00,1,0,0,0,8.80060414672047,73.76299725284277,100.0,1,11.036666666666669,0.0125,20.0,30.776044651663256
2023-01-01 23:00:00,1,0,0,0,5.224168102498577,67.72052952167144,72.9782548824651,1,11.036666666666669,0.0125,20.0,31.651613698555398
2023-01-02 00:00:00,1,0,0,0,3.2673627973902417,75.40788942609852,72.2452553680421,1,11.036666666666669,0.0125,20.0,30.393845165387905
2023-01-02 01:00:00,1,0,0,0,10.11673861482116,71.49524494693934,65.71212867987842,1,11.036666666666669,0.0125,20.0,31.0314562492276
