Time,Use [kW],Dishwasher [kW],Furnace [kW],HVAC [kW],Fridge [kW],Outdoor Temp [°C],Humidity [%],Wind Speed [km/h],Day Type,Season,Cloud Cover [%]
01/01/2023 0:00,13.1451637,0.345163699,0,0,0.8,18.02699934,77.93557482,3.175286814,Weekend,1,0.226864971
01/01/2023 1:00,20.62719962,1.827199618,0,6,0.8,9.480132011,63.41443986,1.722819086,Weekend,1,0.06627293
01/01/2023 2:00,13.20017289,0.400172893,0,0,0.8,20.93731862,61.70022953,15.32371071,Weekend,1,0.415338457
01/01/2023 3:00,18.52176886,0.72176886,5,0,0.8,4.539664314,88.7134626,19.35797398,Weekend,1,0.91127643
01/01/2023 4:00,24.78141717,0.981417167,5,6,0.8,3.106074107,61.2867824,11.77865904,Weekend,1,0.595064038
01/01/2023 5:00,26.37741247,2.577412473,5,6,0.8,13.49217849,63.87577187,4.585792134,Weekend,1,0.732822043
01/01/2023 6:00,20.79827064,1.998270639,0,6,0.8,5.110141824,70.60672946,18.79134679,Weekend,1,0.314370005
01/01/2023 7:00,14.42348664,1.623486637,0,0,0.8,-4.635627072,65.51365633,10.21673598,Weekend,1,0.783911005
01/01/2023 8:00,23.88704147,0.087041473,5,6,0.8,1.841020013,42.74331124,4.201591295,Weekend,1,0.04039305
01/01/2023 9:00,26.00124489,2.201244889,5,6,0.8,21.25250732,33.96831728,11.85160975,Weekend,1,0.26428544
01/01/2023 10:00,24.98485006,1.184850055,5,6,0.8,25.26854525,30.12674196,9.965979191,Weekend,1,0.111723418
01/01/2023 11:00,20.20614136,2.406141356,5,0,0.8,7.761554414,44.58929988,1.246640282,Weekend,1,0.50004039
01/01/2023 12:00,13.56326338,0.763263378,0,0,0.8,-3.148141511,46.63054399,17.88698536,Weekend,1,0.771250611
01/01/2023 13:00,12.97065481,0.17065481,0,0,0.8,-9.109008873,34.00907532,11.74567308,Weekend,1,0.325935255
01/01/2023 14:00,20.39994592,2.599945923,5,0,0.8,-6.2466098,36.6006129,18.47471091,Weekend,1,0.667417262
01/01/2023 15:00,19.46308699,0.663086988,0,6,0.8,-0.433935304,43.01620916,6.287814166,Weekend,1,0.406141981
01/01/2023 16:00,14.01496834,1.214968344,0,0,0.8,23.68287274,35.78357941,2.142541525,Weekend,1,0.537250225
01/01/2023 17:00,24.74828941,0.948289413,5,6,0.8,25.44049407,76.67097015,14.17231541,Weekend,1,0.597940514
01/01/2023 18:00,24.0299881,0.2299881,5,6,0.8,13.00006133,50.02273855,21.8480134,Weekend,1,0.389026869
01/01/2023 19:00,20.32967408,2.529674083,5,0,0.8,32.57300187,82.27852932,13.98131255,Weekend,1,0.134576035
01/01/2023 20:00,20.34681744,2.546817443,5,0,0.8,2.536616252,64.92491864,22.02626179,Weekend,1,0.823552664
01/01/2023 21:00,20.71439527,2.914395274,5,0,0.8,18.02706786,83.83836783,22.86805288,Weekend,1,0.10073466
01/01/2023 22:00,19.95613074,1.156130743,0,6,0.8,-2.610795376,75.0250698,16.22756275,Weekend,1,0.849823344
