Time,Use [kW],HVAC [kW],Machinery [kW],Lighting [kW],Computers and Electronics [kW],Refrigeration [kW],Compressor [kW],Outdoor Temp [°C],Humidity [%],Cloud Cover [%],Production Hours,Day Type,Season,Staff Count
01/01/2023 0:00,145.8251797,42.0098329,30.91972726,21.71721181,9.615469278,19.46095009,22.10198838,6.854305348,24.79894897,0.34253923,No,Weekend,Winter,18
01/01/2023 1:00,121.4885022,40.29966957,16.20849976,37.6821835,9.493518641,12.73866824,5.065962524,32.78214379,25.38954515,0.021851377,No,Weekend,Winter,11
01/01/2023 2:00,191.6224111,48.58766431,35.91211726,34.92881666,16.38815146,27.25209753,28.55356389,22.93972738,55.44522328,0.360020938,No,Weekend,Winter,12
01/01/2023 3:00,153.6268553,48.9560388,32.41452641,25.5292247,9.048804282,28.57955193,9.098709222,16.93963179,55.9618131,0.88948999,No,Weekend,Winter,6
01/01/2023 4:00,118.5844971,41.46222364,8.98286478,27.98817999,9.385802335,13.37420914,17.39121717,-2.97916118,45.12553943,0.690393339,No,Weekend,Winter,17
01/01/2023 5:00,157.0993444,35.2080142,33.06137521,36.29810994,9.999314202,27.98550463,14.54702619,-2.980246585,45.91062154,0.145422859,No,Weekend,Winter,13
01/01/2023 6:00,145.6760595,47.14075424,30.46963155,20.77806936,14.18390511,11.79337214,21.31032716,-7.386237452,23.23595497,0.591155005,No,Weekend,Winter,6
01/01/2023 7:00,144.9107573,46.19121769,17.84091199,27.53709817,12.62361063,10.8448699,29.87304891,28.97792656,50.99279062,0.89223086,No,Weekend,Winter,17
01/01/2023 8:00,121.1674495,26.57454117,7.176463754,31.25744151,15.07242883,21.39125481,19.69531947,17.05017553,50.28436852,0.700034041,No,Weekend,Winter,8
01/01/2023 9:00,110.6745834,27.89613947,8.912652749,33.99979342,8.154103004,25.60171917,6.110175585,21.863266,28.97295911,0.148684392,No,Weekend,Winter,11
01/01/2023 10:00,125.8970654,32.00368978,40.32262838,21.10048471,7.956931275,19.78390132,4.729429888,-9.073697757,26.23036317,0.867832497,No,Weekend,Winter,5
01/01/2023 11:00,148.0598355,33.60511954,36.00805248,37.35304909,16.64838965,14.83324714,9.611977651,33.64594335,27.41434944,0.301544013,No,Weekend,Winter,18
01/01/2023 12:00,155.0776837,48.3165889,45.42068466,29.31949717,7.132378168,13.56215312,11.32638164,27.45991884,26.06169479,0.454076144,No,Weekend,Winter,14
01/01/2023 13:00,105.3577337,20.468344,5.661521961,20.59168917,7.031676744,25.04008479,26.56441706,-0.444740019,56.58249173,0.52614276,No,Weekend,Winter,13
01/01/2023 14:00,134.6065089,27.41152457,30.52272735,28.10042992,14.5302446,19.47741791,14.56416451,-1.817876476,31.78895914,0.850506604,No,Weekend,Winter,16
01/01/2023 15:00,109.1286517,36.98856407,4.827541599,37.5164575,7.047896006,21.74778665,1.000405892,-1.746797057,35.08580913,0.931607495,No,Weekend,Winter,15
01/01/2023 16:00,149.7584633,23.72957923,32.54031217,39.22871952,7.892357259,28.18605662,18.18143848,3.690900933,30.41432865,0.929652878,No,Weekend,Winter,10
01/01/2023 17:00,122.4843562,26.80369641,24.50233837,27.27786911,8.677046544,13.37333877,21.85006704,13.61403942,77.47011827,0.007954181,No,Weekend,Winter,9
01/01/2023 18:00,137.056637,23.70734287,19.23470365,26.68549293,17.981835,19.55387001,29.89339252,9.437525839,71.27704779,0.921888486,No,Weekend,Winter,15
01/01/2023 19:00,137.6547533,30.88135703,32.66651896,32.71788902,16.79722749,24.23836875,0.353392019,3.105311309,33.82969024,0.054386966,No,Weekend,Winter,11
01/01/2023 20:00,114.8782899,34.37975215,2.555886386,33.61225624,13.11974572,22.94845798,8.262191402,17.53338026,39.65397764,0.265773657,No,Weekend,Winter,19
01/01/2023 21:00,110.8966532,22.25744849,21.01912708,23.54987757,6.563938393,15.2448709,22.26139082,-3.722776271,32.59357054,0.514987855,No,Weekend,Winter,7
01/01/2023 22:00,145.0851335,40.59972158,48.14908888,26.20017929,5.229384711,24.69734934,0.209409734,3.146509184,49.51255757,0.479925689,No,Weekend,Winter,10
01/01/2023 23:00,173.4848295,48.85811263,45.10495596,31.03789298,13.7794472,25.50095757,9.203463186,6.486282948,21.17663195,0.604709794,No,Weekend,Winter,15
01/02/2023 0:00,156.3369978,41.47551393,31.99946125,24.5584945,17.79205975,24.99323967,15.51822869,10.52314929,60.28208053,0.479446229,No,Weekday,Winter,18
01/02/2023 1:00,125.0126912,43.48077649,11.56410123,33.97580423,5.983647699,19.97536806,10.03299353,25.33291826,51.38948899,0.93437568,No,Weekday,Winter,12
01/02/2023 2:00,106.0002613,47.45438772,0.791800552,24.25146316,8.516757616,16.53225361,8.453598613,-1.014679803,73.9183357,0.240548848,No,Weekday,Winter,16
01/02/2023 3:00,183.1888984,38.45243601,49.72560736,21.79862792,17.17019452,28.67856359,27.36346896,13.14054973,29.86356106,0.274024694,No,Weekday,Winter,6
01/02/2023 4:00,138.1087454,24.34302508,40.16446487,26.15085057,16.57396908,22.95132732,7.925108449,16.6586556,68.24655476,0.920737936,No,Weekday,Winter,11
01/02/2023 5:00,150.3078068,25.19022111,40.27922884,30.75274044,16.90821002,12.56206865,24.61533773,-7.909731428,67.51766087,0.076739514,No,Weekday,Winter,13
01/02/2023 6:00,702.8691611,138.1661735,323.5008664,56.00712192,39.63017939,19.73161123,125.8332087,17.33951834,27.63087135,0.609560822,Yes,Weekday,Winter,185
01/02/2023 7:00,903.2579477,91.17780721,598.0293437,82.89800919,44.0834699,29.17018257,57.89913518,-2.326414434,43.91355345,0.681735952,Yes,Weekday,Winter,68
01/02/2023 8:00,983.4081731,195.8266531,539.0437085,70.06826942,31.43815469,28.58982384,118.4415636,-7.072678316,30.20915847,0.505541723,Yes,Weekday,Winter,131
01/02/2023 9:00,710.9455676,148.4986681,318.7911575,97.81437927,39.42665617,29.18725547,77.22745103,32.69984918,35.28323003,0.694231879,Yes,Weekday,Winter,178
01/02/2023 10:00,814.4211335,76.48684587,541.8914942,82.90647357,30.02357809,17.52392544,65.58881632,33.45344149,35.79477049,0.172754646,Yes,Weekday,Winter,139
01/02/2023 11:00,723.5203989,134.6315555,411.9521075,70.13391076,45.13332777,10.53559149,51.13390582,26.37788067,53.37418364,0.852632233,Yes,Weekday,Winter,53
01/02/2023 12:00,890.3732738,154.0256793,475.6286485,66.12434359,32.99129594,11.78811762,149.8151888,3.707619613,44.68465591,0.140025689,Yes,Weekday,Winter,100
01/02/2023 13:00,766.9971001,81.80587507,440.2146002,79.66844013,45.98584914,26.674352,92.64798355,-5.60475487,76.86396824,0.400812444,Yes,Weekday,Winter,125
01/02/2023 14:00,827.0626572,66.10913235,474.9233081,92.42378609,48.6334726,27.21164452,117.7613135,20.79048619,27.58220852,0.075257601,Yes,Weekday,Winter,199
01/02/2023 15:00,740.8554776,109.0952069,363.1298991,70.18125643,39.01195461,10.5146393,148.9225213,9.806862218,78.42152809,0.545211079,Yes,Weekday,Winter,50
01/02/2023 16:00,826.1614231,132.3856214,483.5557508,88.52289748,43.75051445,20.37406358,57.57257543,-4.508279432,33.83831841,0.669745807,Yes,Weekday,Winter,86
01/02/2023 17:00,756.172593,97.39489613,377.8464966,74.14551092,42.84804708,18.78080022,145.156842,12.28296096,66.37243618,0.941221635,Yes,Weekday,Winter,121
01/02/2023 18:00,945.0564892,150.7786351,502.1034689,90.31429872,40.06038628,25.18695404,136.6127462,-8.45251655,40.33819557,0.739336196,Yes,Weekday,Winter,53
01/02/2023 19:00,848.5429017,66.83690113,557.1507493,60.49838043,39.29455236,20.32332732,104.4389912,30.91941809,28.58488373,0.541102916,Yes,Weekday,Winter,187
01/02/2023 20:00,645.4510846,57.52348111,397.394226,91.58126779,27.71567635,19.43870028,51.79773312,1.645099172,71.47335111,0.932617017,Yes,Weekday,Winter,76
01/02/2023 21:00,599.6692539,65.31702815,330.6167674,64.6934331,24.62519462,20.71283146,93.7039992,19.8135028,38.53165395,0.478436838,Yes,Weekday,Winter,133
01/02/2023 22:00,948.9318091,156.3733796,553.748266,85.04968103,39.31383099,14.98630137,99.46035012,4.026998424,59.53132425,0.561205653,Yes,Weekday,Winter,160
01/02/2023 23:00,159.0011812,35.92156955,28.67686496,30.70771261,12.04196928,21.74907915,29.90398563,13.40306095,53.98662111,0.596098528,No,Weekday,Winter,19
01/03/2023 0:00,117.6194749,45.87032181,11.63351052,21.89679385,19.63430174,18.51793728,0.06660966,14.60196257,48.30537856,0.409979726,No,Weekday,Winter,12
01/03/2023 1:00,134.82685,28.99930878,37.1742088,30.98782166,16.6877193,18.2209919,2.75679951,-1.681549501,49.74916836,0.838482691,No,Weekday,Winter,12
01/03/2023 2:00,134.259313,32.51389068,45.83000379,20.84870182,17.03271244,12.73668823,5.297316047,33.63130825,63.93427485,0.185175939,No,Weekday,Winter,10
