Time,Use [kW],HVAC [kW],Cloud Cover [%],Day Type,Outdoor Temp [°C],Season,Humidity [%],Staff Count,Water Heating [kW],Patient Load,Refrigeration [kW],Medical Equipment [kW],Lighting [kW]
01/01/2023 0:00,206.0346482,88.10867849,0.598658484,Weekend,11.2060899,Winter,59.27975767,45,18.42449058,88,8.838243732,60.10515285,30.55808258
01/01/2023 1:00,196.7972138,93.85184841,0.611852895,Weekend,4.987563573,Winter,41.64916561,47,19.89604345,91,10.2849292,42.32023498,30.4441578
01/01/2023 2:00,201.4181863,95.86385636,0.942201756,Weekend,9.162415897,Winter,30.53059845,37,17.66485398,63,8.501846953,49.668066,29.71956301
01/01/2023 3:00,190.1678184,87.17782317,0.182236088,Weekend,9.476319716,Winter,45.6424243,21,20.19997184,53,9.077068564,46.46883348,27.24412139
01/01/2023 4:00,199.7497493,85.44185582,0.326540769,Weekend,11.60945948,Winter,59.09087983,42,21.9775718,63,10.9463865,50.25500668,31.12892848
01/01/2023 5:00,193.1424013,91.49551053,0.296273506,Weekend,10.40549456,Winter,41.03996728,20,17.61310702,94,6.873866411,47.2469909,29.9129264
01/01/2023 6:00,211.2914898,92.38883705,0.926300879,Weekend,12.0738304,Winter,54.23839899,47,19.44302307,90,9.041651524,59.75545127,30.66252686
01/01/2023 7:00,219.2884941,95.38120014,0.472214925,Weekend,11.83771324,Winter,65.4885097,34,21.01454376,86,12.99086851,57.95595464,31.94592707
01/01/2023 8:00,179.4355059,88.49567956,0.031429186,Weekend,9.415384819,Winter,34.31565708,36,21.07133771,88,9.560656224,30.12431085,30.18352155
01/01/2023 9:00,200.1644588,82.99121478,0.80812038,Weekend,8.595674393,Winter,67.18790609,47,22.90593497,55,10.1941551,55.13267433,28.94047959
01/01/2023 10:00,193.965736,84.56168927,0.427107789,Weekend,8.808555411,Winter,39.1174065,28,28.83099025,62,7.380098626,44.9335678,28.25939009
01/01/2023 11:00,175.3360925,87.23106254,0.558102002,Weekend,8.880540358,Winter,38.75056878,49,17.02224146,98,7.854936331,33.26495378,29.96289839
01/01/2023 12:00,189.6049273,86.81968652,0.908265886,Weekend,8.894296994,Winter,41.14585857,49,22.2557991,68,12.28564563,38.31321962,29.93057646
01/01/2023 13:00,206.969484,82.69074469,0.535774684,Weekend,13.01825022,Winter,55.34118843,35,22.62076825,97,13.41320991,59.23162608,29.01313504
01/01/2023 14:00,203.2705496,82.68563232,0.690937738,Weekend,11.51083506,Winter,36.97465716,37,22.0315582,88,8.324837216,59.26456359,30.96395828
01/01/2023 15:00,196.9702349,87.1876926,0.516635891,Weekend,8.961429008,Winter,69.28673373,21,17.46015693,98,8.797205509,51.52420862,32.00097122
01/01/2023 16:00,217.2657215,95.12646234,0.850928449,Weekend,9.641682997,Winter,65.51080395,27,23.50589373,98,6.300394126,61.02687465,31.30609662
01/01/2023 17:00,199.3069249,83.53029795,0.448424143,Weekend,8.241898005,Winter,49.42455014,23,17.53795304,90,12.31719116,57.87084604,28.05063666
01/01/2023 18:00,209.5404079,96.58396491,0.367715803,Weekend,11.85678192,Winter,33.74699071,33,19.91082393,71,11.82102444,50.59281284,30.63178181
01/01/2023 19:00,208.1916794,95.56014452,0.230185268,Weekend,12.94152849,Winter,64.5667026,38,19.27059662,97,6.433497876,53.96774281,32.95969755
01/01/2023 20:00,184.7420608,89.90795403,0.572292469,Weekend,9.95745201,Winter,52.11059867,39,22.56919638,82,9.106970096,34.85152775,28.30641256
01/01/2023 21:00,207.5985325,90.0265869,0.097176494,Weekend,10.55902345,Winter,52.8024468,34,23.19859563,81,11.74489432,50.51360859,32.11484702
01/01/2023 22:00,237.2863664,83.18047814,0.867072319,Weekend,12.02290552,Winter,62.40453579,47,23.40669692,62,11.14178102,88.52731491,31.03009537
01/01/2023 23:00,195.579097,90.9948461,0.09398194,Weekend,9.58212311,Winter,45.02331811,41,21.78693096,72,9.174476774,45.44966826,28.17317493
01/02/2023 0:00,230.9555077,92.53012933,0.271542916,Weekday,6.381421718,Winter,63.11476015,88,22.48629793,104,12.72687098,68.43413758,34.77807191
01/02/2023 1:00,208.5205812,92.25715126,0.438971421,Weekday,12.46053678,Winter,40.83329005,75,18.99649629,154,7.599407186,58.65755194,31.00997456
01/02/2023 2:00,219.5057138,93.52490855,0.279933897,Weekday,13.89540577,Winter,56.40789507,88,20.6869113,115,7.632853664,69.23624412,28.42479618
01/02/2023 3:00,217.871173,95.19948317,0.464673813,Weekday,11.76268205,Winter,43.85217284,59,21.24162451,122,13.86708526,57.55935282,30.00362722
01/02/2023 4:00,215.1047125,95.85700005,0.573367042,Weekday,12.70936886,Winter,57.0867337,82,21.34067043,132,12.27403484,54.67057173,30.96243546
01/02/2023 5:00,195.9269327,89.90310976,0.038963132,Weekday,8.598339974,Winter,45.09036333,72,22.54880629,134,8.821270486,45.06999065,29.5837555
01/02/2023 6:00,194.4539418,95.0364976,0.80348093,Weekday,12.16369704,Winter,59.40284175,59,21.58388128,135,13.22164062,31.25531125,33.35661102
01/02/2023 7:00,207.2288312,96.54489269,0.23859686,Weekday,12.45184858,Winter,52.47466769,62,13.23752396,154,11.26570487,57.90593989,28.27476976
01/02/2023 8:00,205.5210784,90.30849388,0.958541497,Weekday,9.185191578,Winter,32.13941187,61,26.07416299,118,9.599590209,48.75474752,30.78408378
01/02/2023 9:00,208.6592006,91.17631657,0.212727895,Weekday,10.76831217,Winter,52.14812209,72,25.02587975,152,10.64903663,52.49314542,29.31482226
01/02/2023 10:00,189.475301,96.98032117,0.838480764,Weekday,12.14246588,Winter,64.67474821,62,20.23702704,145,6.836692149,36.43214516,28.98911545
01/02/2023 11:00,224.3903572,95.79220648,0.591888739,Weekday,9.72975972,Winter,66.30774825,55,17.36159648,135,12.95650423,68.60778054,29.67226947
01/02/2023 12:00,211.5248641,89.78911413,0.571473025,Weekday,7.191570054,Winter,46.20808347,77,23.40002608,119,11.68034232,55.36026535,31.29511622
01/02/2023 13:00,208.6104387,95.47375188,0.436335832,Weekday,8.670629816,Winter,51.13480485,93,19.68847665,157,9.465198724,53.89179576,30.09121568
01/02/2023 14:00,214.2945289,89.46839261,0.166215432,Weekday,12.05164534,Winter,33.01738188,63,20.62849059,148,10.73381883,65.25829957,28.20552734
01/02/2023 15:00,188.4266486,92.32575833,0.169679904,Weekday,8.613373715,Winter,43.42640259,75,15.98646553,135,8.403529564,44.41579631,27.29509889
01/02/2023 16:00,212.5624677,85.93699318,0.133185125,Weekday,13.81999255,Winter,40.8383057,55,18.59247304,134,12.35888024,68.31458766,27.35953359
01/02/2023 17:00,200.0681823,104.3693619,0.842118923,Weekday,6.938228233,Winter,68.79657591,82,19.83354513,176,9.782742672,40.98706181,25.0954708
01/02/2023 18:00,201.3871645,93.16229241,0.849647391,Weekday,13.39696394,Winter,67.7906292,70,21.5433165,116,10.24059126,48.57620515,27.86475914
01/02/2023 19:00,222.1096817,99.68838411,0.671573196,Weekday,7.29626895,Winter,34.54230369,52,25.26602253,133,14.12149585,50.67518481,32.35859437
01/02/2023 20:00,186.5883983,100.5431578,0.212964162,Weekday,11.65524919,Winter,58.16319072,83,13.88230347,137,7.633482975,32.41260514,32.11684897
01/02/2023 21:00,207.7482419,95.3704739,0.6220867,Weekday,13.3692114,Winter,45.86171129,66,15.00592041,150,9.437229787,57.9640543,29.97056348
01/02/2023 22:00,198.2909093,84.9940212,0.075863328,Weekday,12.60985266,Winter,39.60582475,65,19.12792308,122,11.49473606,54.87673275,27.79749619
01/02/2023 23:00,191.454227,96.72164326,0.168935063,Weekday,9.47113035,Winter,31.63474465,91,16.40636632,191,8.892701389,39.64757678,29.78593928
01/03/2023 0:00,202.8346597,97.06989955,0.920872401,Weekday,9.118255567,Winter,64.94314496,66,21.7385132,160,8.527175655,43.79636277,31.70270853
01/03/2023 1:00,209.379617,90.94637868,0.462534716,Weekday,15.26599007,Winter,44.75654558,63,22.70559031,125,9.283581599,54.71036831,31.73369813
01/03/2023 2:00,203.2950897,101.380873,0.840709986,Weekday,8.975533502,Winter,52.55860368,75,13.66790144,185,9.300432478,52.06689463,26.87898817
01/03/2023 3:00,207.9941167,90.77991636,0.557742266,Weekday,15.66435649,Winter,59.47289902,98,19.13186616,139,11.42290853,60.67456172,25.98486396
01/03/2023 4:00,180.7312237,91.89262519,0.007534363,Weekday,6.359451137,Winter,67.34767295,55,20.43561218,120,11.59496841,27.22049582,29.58752208
01/03/2023 5:00,208.7502563,97.02746177,0.718457271,Weekday,14.1080357,Winter,62.83445893,57,21.91587095,174,8.1806141,49.14236831,32.4839412
01/03/2023 6:00,210.0168431,103.7210219,0.506103956,Weekday,12.49269259,Winter,33.49160718,62,18.84633337,199,8.279173269,50.47398671,28.69632778
01/03/2023 7:00,214.9689697,88.71554065,0.681502722,Weekday,12.5302922,Winter,40.18562619,58,16.90211279,116,6.459513623,74.33848078,28.55332184
01/03/2023 8:00,214.833045,94.3469696,0.066496267,Weekday,10.85716515,Winter,37.24932265,71,21.42648092,139,11.03224946,56.96351127,31.06383378
01/03/2023 9:00,205.3958915,92.91728255,0.588306676,Weekday,12.00243642,Winter,42.64786329,89,22.4172059,117,10.50038098,46.0162661,33.54475597
01/03/2023 10:00,189.3348654,100.1847003,0.53185748,Weekday,6.795886821,Winter,45.65928441,89,17.70562584,152,6.265296347,34.69521257,30.48403029
01/03/2023 11:00,212.6060216,95.43834875,0.997692616,Weekday,13.9293563,Winter,52.92603397,82,18.7240363,156,9.295750559,57.20773049,31.94015556
01/03/2023 12:00,211.6345446,100.0026449,0.378821566,Weekday,9.705157124,Winter,51.45925406,64,17.23350403,187,11.51397723,53.77300493,29.11141348
01/03/2023 13:00,196.0516843,100.3839791,0.345695994,Weekday,11.34457639,Winter,40.07196236,59,18.18481077,110,6.641081436,43.19738413,27.64442892
01/03/2023 14:00,203.9535432,92.01742991,0.102212664,Weekday,12.25340466,Winter,53.71851621,54,16.58073672,167,10.50048787,54.42116665,30.43372207
01/03/2023 15:00,217.2575639,95.00047721,0.450839371,Weekday,10.88547329,Winter,67.02274052,86,24.58865096,145,6.615070741,60.94191518,30.11144982
01/03/2023 16:00,182.39349,81.82571664,0.919855616,Weekday,8.493497832,Winter,51.49582412,56,19.21779451,101,6.994469965,41.81525783,32.54025109
01/03/2023 17:00,209.3104822,88.20427477,0.914845901,Weekday,10.50439967,Winter,46.75701798,78,16.68042227,148,9.462222619,61.2656503,33.69791219
01/03/2023 18:00,185.1878093,95.79609217,0.74996047,Weekday,15.66442619,Winter,32.6830591,68,24.39616927,155,7.132582855,28.75901926,29.10394572
01/03/2023 19:00,204.1667927,94.2968986,0.534455891,Weekday,12.59769146,Winter,51.10590921,87,19.33543371,193,8.86456193,52.38296262,29.28693582
01/03/2023 20:00,215.3647199,97.85757031,0.978931436,Weekday,10.64497306,Winter,62.02999086,99,21.02296506,131,6.75495274,60.24286582,29.48636594
01/03/2023 21:00,222.3203564,104.151725,0.887460483,Weekday,7.100700023,Winter,52.77774071,96,20.18470586,191,10.02600101,56.23399439,31.72393017
01/03/2023 22:00,209.8986531,88.69733557,0.633240775,Weekday,7.131174233,Winter,33.4770006,72,20.78581283,132,11.05476743,58.70009908,30.66063814
01/03/2023 23:00,220.9878385,99.04270139,0.830654507,Weekday,9.600682888,Winter,31.36912443,87,21.41718993,136,9.266053602,62.51651471,28.74537892
01/04/2023 0:00,186.2478718,94.62010096,0.471065453,Weekday,11.00507437,Winter,69.41469249,66,23.1713748,195,11.73948088,22.15995771,34.55695746
01/04/2023 1:00,229.3397793,108.9698269,0.900572301,Weekday,8.670809759,Winter,35.29104845,72,20.38037948,197,12.69349196,55.39572406,31.90035696
01/04/2023 2:00,185.4351538,85.60892285,0.10657873,Weekday,10.53428275,Winter,58.80810327,70,22.53332705,185,8.186842654,40.90366103,28.20240018
